Central US:::       centralus
East US:::          eastus
East US 2:::        eastus2
West US:::          westus
North Central US::: northcentralus
South Central US::: southcentralus
West Central US:::  westcentralus
West US 2:::        westus2

Canada Central:::   canadacentral
Canada East:::      canadaeast

UK South:::         uksouth
UK West:::          ukwest

North Europe:::     northeurope
West Europe:::      westeurope

Japan West:::       japanwest
Japan East:::       japaneast

AU East:::          australiaeast
AU Southeast:::     australiasoutheast
AU Central:::       australiacentral
AU Central 2:::     australiacentral2

East Asia:::        eastasia
Southeast Asia:::   southeastasia

South India:::      southindia
Central India:::    centralindia
West India:::       westindia

Brazil South:::     brazilsouth

Korea Central:::    koreacentral
Korea South:::      koreasouth

France Central:::   francecentral
France South:::     francesouth

UAE Central:::      uaecentral
UAE North:::        uaenorth

South Africa N:::   southafricanorth
South Africa W:::   southafricawest

Switzerland N:::    switzerlandnorth
Switzerland W:::    switzerlandwest

Germany North:::    germanynorth
Germany W C:::      germanywestcentral

Norway West:::      norwaywest
Norway East:::      norwayeast
